Fecha,Casos_Diagnostico,Casos_Recuperado,Casos_Muerte,Casos_Activos,Tasa_Contagio,Tasa_Recuperacion,Tasa_Muerte
2020-03-09,1,0.0,0.0,1.0,,,
2020-03-11,3,0.0,0.0,3.0,2.0000008430533875,0.0,0.0
2020-03-14,5,0.0,0.0,5.0,0.666667509720765,0.0,0.0
2020-03-15,6,1.0,0.0,5.0,0.20000042152740455,0.2,0.0
2020-03-19,9,0.0,0.0,9.0,0.6000015174992961,-0.2,0.0
2020-03-20,16,0.0,0.0,16.0,0.7777807284745848,0.0,0.0
2020-03-21,17,0.0,0.0,17.0,0.0625004215293591,0.0,0.0
2020-03-22,19,0.0,0.0,19.0,0.11764790188260298,0.0,0.0
2020-03-23,32,3.0,0.0,29.0,0.6842160062043876,0.15789473684210525,0.0
2020-03-25,38,6.0,0.0,32.0,0.20689934255802775,0.10344827586206896,0.0
2020-03-28,42,11.0,0.0,31.0,0.1250020022830242,0.15625,0.0
2020-03-29,50,18.0,0.0,32.0,0.25806908501344994,0.22580645161290322,0.0
2020-03-30,58,24.0,0.0,34.0,0.25000526919250676,0.1875,0.0
2020-03-31,62,29.0,0.0,33.0,0.11764993519243305,0.14705882352941177,0.0
2020-04-01,63,34.0,0.0,29.0,0.03030382228263749,0.15151515151515152,0.0
2020-04-02,73,36.0,0.0,37.0,0.34483674375026374,0.06896551724137931,0.0
2020-04-03,84,40.0,1.0,43.0,0.297306445843472,0.10810810810810811,0.02702702702702703
2020-04-04,86,44.0,0.0,42.0,0.04651327485958798,0.09302325581395349,-0.023255813953488372
2020-04-05,95,48.0,0.0,47.0,0.21429348269884066,0.09523809523809523,0.0
2020-04-06,100,50.0,0.0,50.0,0.10638723900241485,0.0425531914893617,0.0
2020-04-07,113,55.0,0.0,58.0,0.2600109601514187,0.1,0.0
2020-04-08,140,56.0,0.0,84.0,0.46553941618383954,0.017241379310344827,0.0
2020-04-09,142,60.0,0.0,82.0,0.02381092898083527,0.047619047619047616,0.0
2020-04-10,147,63.0,0.0,84.0,0.0609792597773376,0.036585365853658534,0.0
2020-04-11,150,65.0,0.0,85.0,0.03571649886563196,0.023809523809523808,0.0
2020-04-12,157,0.0,0.0,157.0,0.08235814859798855,-0.7647058823529411,0.0
2020-04-13,167,69.0,0.0,98.0,0.06369848306006812,0.4394904458598726,0.0
2020-04-14,180,70.0,0.0,110.0,0.13266239998461063,0.01020408163265306,0.0
2020-04-15,190,71.0,0.0,119.0,0.09091598913912005,0.00909090909090909,0.0
2020-04-16,194,0.0,0.0,194.0,0.033616137695898884,-0.5966386554621849,0.0
2020-04-17,200,74.0,0.0,126.0,0.030930364417484937,0.38144329896907214,0.0
2020-04-18,208,77.0,2.0,129.0,0.06349741666102911,0.023809523809523808,0.015873015873015872
2020-04-19,219,88.0,0.0,131.0,0.08527879486230329,0.08527131782945736,-0.015503875968992248
2020-04-20,225,94.0,0.0,131.0,0.045805755244110666,0.04580152671755725,0.0
2020-04-21,228,101.0,0.0,127.0,0.022902935552570943,0.05343511450381679,0.0
2020-04-22,234,103.0,0.0,131.0,0.04724863546220413,0.015748031496062992,0.0
2020-04-23,249,112.0,0.0,137.0,0.11451511224446924,0.06870229007633588,0.0
2020-04-24,254,117.0,0.0,137.0,0.03650018142774798,0.0364963503649635,0.0
2020-04-25,255,120.0,0.0,135.0,0.007300051672991411,0.021897810218978103,0.0
2020-04-26,258,126.0,0.0,132.0,0.02222461112926212,0.044444444444444446,0.0
2020-04-27,266,130.0,3.0,133.0,0.06061265246483907,0.030303030303030304,0.022727272727272728
2020-04-28,269,136.0,0.0,133.0,0.02255892042015679,0.045112781954887216,-0.022556390977443608
2020-04-29,273,140.0,0.0,133.0,0.030078598601255082,0.03007518796992481,0.0
2020-04-30,277,142.0,0.0,135.0,0.030078649322799463,0.015037593984962405,0.0
2020-05-01,278,144.0,0.0,134.0,0.007408272418371265,0.014814814814814815,0.0
2020-05-03,284,151.0,0.0,133.0,0.04478136707934041,0.05223880597014925,0.0
2020-05-04,287,153.0,0.0,134.0,0.022559091605946425,0.015037593984962405,0.0
2020-05-05,290,164.0,0.0,126.0,0.022390768494349296,0.08208955223880597,0.0
2020-05-06,293,168.0,0.0,125.0,0.023812434705589965,0.031746031746031744,0.0
2020-05-07,296,174.0,0.0,122.0,0.02400296454060371,0.048,0.0
2020-05-08,299,185.0,0.0,114.0,0.024593232477509757,0.09016393442622951,0.0
2020-05-09,300,197.0,0.0,103.0,0.008773035546627238,0.10526315789473684,0.0
2020-05-10,302,200.0,0.0,102.0,0.01941993153298009,0.02912621359223301,0.0
2020-05-11,307,217.0,0.0,90.0,0.049025848883111754,0.16666666666666666,0.0
2020-05-12,311,219.0,0.0,92.0,0.044450196683965076,0.022222222222222223,0.0
2020-05-13,318,226.0,0.0,92.0,0.07609693242980659,0.07608695652173914,0.0
2020-05-14,328,227.0,0.0,101.0,0.10871022428290376,0.010869565217391304,0.0
2020-05-15,335,232.0,0.0,103.0,0.06931651444268981,0.04950495049504951,0.0
2020-05-16,341,234.0,0.0,107.0,0.058260654252021725,0.019417475728155338,0.0
2020-05-17,349,239.0,0.0,110.0,0.07477710364159346,0.04672897196261682,0.0
2020-05-18,355,243.0,0.0,112.0,0.05455348005815316,0.03636363636363636,0.0
2020-05-19,368,0.0,0.0,368.0,0.11608880032161265,-2.169642857142857,0.0
2020-05-20,372,246.0,0.0,126.0,0.010871251585048121,0.6684782608695652,0.0
2020-05-21,385,248.0,0.0,137.0,0.10319078430107377,0.015873015873015872,0.0
2020-05-22,393,251.0,0.0,142.0,0.0584036387766589,0.021897810218978103,0.0
2020-05-23,427,255.0,0.0,172.0,0.23947629134177595,0.028169014084507043,0.0
2020-05-24,440,270.0,0.0,170.0,0.07559500183098002,0.0872093023255814,0.0
2020-05-25,446,280.0,0.0,166.0,0.03530066492023115,0.058823529411764705,0.0
2020-05-26,469,291.0,0.0,178.0,0.13858027007273746,0.06626506024096386,0.0
2020-05-27,483,292.0,0.0,191.0,0.07866723758643056,0.0056179775280898875,0.0
2020-05-28,504,299.0,0.0,205.0,0.10997003358177727,0.03664921465968586,0.0
2020-05-29,515,302.0,0.0,213.0,0.053669938729721735,0.014634146341463415,0.0
2020-05-30,531,304.0,0.0,227.0,0.07513368137407973,0.009389671361502348,0.0
2020-05-31,548,325.0,0.0,223.0,0.07490663423680145,0.09251101321585903,0.0
2020-06-01,553,327.0,0.0,226.0,0.02242670515476598,0.008968609865470852,0.0
2020-06-02,577,342.0,0.0,235.0,0.10621945046162524,0.06637168141592921,0.0
2020-06-03,593,353.0,0.0,240.0,0.0681016701256547,0.04680851063829787,0.0
2020-06-04,606,362.0,0.0,244.0,0.05418020983495781,0.0375,0.0
2020-06-05,619,379.0,4.0,236.0,0.05329230178028345,0.06967213114754098,0.01639344262295082
2020-06-06,632,391.0,0.0,241.0,0.055099122496482175,0.05084745762711865,-0.01694915254237288
2020-06-07,648,406.0,0.0,242.0,0.06640773282978249,0.06224066390041494,0.0
2020-06-08,676,413.0,0.0,263.0,0.11573409201145742,0.028925619834710745,0.0
2020-06-09,710,423.0,0.0,287.0,0.12931441493137608,0.03802281368821293,0.0
2020-06-10,739,442.0,0.0,297.0,0.10107554644354745,0.06620209059233449,0.0
2020-06-11,757,453.0,0.0,304.0,0.060624945767451366,0.037037037037037035,0.0
2020-06-12,786,473.0,0.0,313.0,0.095425186596673,0.06578947368421052,0.0
2020-06-13,819,485.0,0.0,334.0,0.1054662529663882,0.038338658146964855,0.0
2020-06-14,851,491.0,5.0,355.0,0.09584147060519946,0.017964071856287425,0.014970059880239521
2020-06-15,902,495.0,6.0,401.0,0.14371352461219467,0.011267605633802818,0.0028169014084507044
2020-06-16,937,499.0,0.0,438.0,0.08731499414915281,0.00997506234413965,-0.014962593516209476
2020-06-17,975,515.0,7.0,453.0,0.08679227124094818,0.0365296803652968,0.01598173515981735
2020-06-18,1037,541.0,0.0,496.0,0.13692161535256972,0.05739514348785872,-0.01545253863134658
2020-06-19,1129,567.0,0.0,562.0,0.18556498569046642,0.05241935483870968,0.0
2020-06-20,1174,594.0,8.0,572.0,0.08010929866777228,0.04804270462633452,0.014234875444839857
2020-06-21,1238,612.0,10.0,616.0,0.11194350961114514,0.03146853146853147,0.0034965034965034965
2020-06-22,1278,646.0,11.0,621.0,0.06496896898028529,0.05519480519480519,0.0016233766233766235
2020-06-23,1331,675.0,0.0,656.0,0.08539221749828174,0.04669887278582931,-0.017713365539452495
2020-06-24,1414,699.0,16.0,699.0,0.12659541682949554,0.036585365853658534,0.024390243902439025
2020-06-25,1509,718.0,17.0,774.0,0.13598949560360307,0.027181688125894134,0.001430615164520744
2020-06-26,1628,747.0,0.0,881.0,0.15384462805728502,0.037467700258397935,-0.021963824289405683
2020-06-27,1760,762.0,0.0,998.0,0.14993262947557162,0.0170261066969353,0.0
2020-06-28,1888,794.0,0.0,1094.0,0.12835173546745896,0.03206412825651302,0.0
2020-06-29,1962,845.0,18.0,1099.0,0.06769555687287977,0.04661791590493602,0.016453382084095063
2020-06-30,2085,897.0,20.0,1168.0,0.11201256552143722,0.047315741583257506,0.0018198362147406734
2020-07-01,2202,937.0,23.0,1242.0,0.10025934909277773,0.03424657534246575,0.0025684931506849314
2020-07-02,2382,977.0,28.0,1377.0,0.14506218315170552,0.0322061191626409,0.004025764895330112
2020-07-03,2527,1010.0,32.0,1485.0,0.10540721668469752,0.023965141612200435,0.002904865649963689
2020-07-04,2758,1031.0,35.0,1692.0,0.15572142963407132,0.014141414141414142,0.00202020202020202
2020-07-05,2924,1055.0,36.0,1833.0,0.09822293809897675,0.014184397163120567,0.000591016548463357
2020-07-06,3152,1102.0,42.0,2008.0,0.12453975271265272,0.02564102564102564,0.0032733224222585926
2020-07-07,3392,1145.0,43.0,2204.0,0.11968092660268381,0.02141434262948207,0.00049800796812749
2020-07-08,3625,1187.0,44.0,2394.0,0.1058682507273558,0.019056261343012703,0.00045372050816696913
2020-07-09,3925,1239.0,54.0,2632.0,0.12550505915801344,0.02172096908939014,0.004177109440267335
2020-07-10,4332,1289.0,60.0,2983.0,0.15489152508207257,0.018996960486322188,0.0022796352583586625
2020-07-11,4492,1356.0,71.0,3065.0,0.05373540159232921,0.022460610124036204,0.0036875628561850488
2020-07-12,4798,1390.0,83.0,3325.0,0.10002626731109023,0.011092985318107667,0.003915171288743882
2020-07-13,5026,1435.0,99.0,3492.0,0.06871039425986941,0.013533834586466165,0.00481203007518797
2020-07-14,5572,1481.0,110.0,3981.0,0.1566893491600804,0.013172966781214204,0.003150057273768614
2020-07-15,6044,1540.0,117.0,4387.0,0.11884230544120766,0.014820396885204722,0.0017583521728208992
2020-07-16,6497,1637.0,128.0,4732.0,0.10352337788540182,0.022110781855482105,0.00250740825165261
2020-07-17,7096,1719.0,140.0,5237.0,0.12693257840080252,0.017328825021132713,0.00253592561284869
2020-07-18,7983,1814.0,149.0,6020.0,0.16987991440799946,0.018140156578193622,0.00171854114951308
2020-07-19,8444,2108.0,166.0,6170.0,0.07683663190423841,0.04883720930232558,0.002823920265780731
2020-07-20,9135,2221.0,176.0,6738.0,0.11239356729846718,0.01831442463533225,0.0016207455429497568
2020-07-21,10136,2401.0,196.0,7539.0,0.14913466830440952,0.026714158504007122,0.0029682398337785693
2020-07-22,10763,2509.0,213.0,8041.0,0.08352439457414307,0.01432550736171906,0.002254940973603926
2020-07-23,11228,2723.0,229.0,8276.0,0.0580921861321935,0.026613605272975998,0.0019898022634000745
2020-07-24,12018,3008.0,243.0,8767.0,0.09591067800901396,0.034436926051232476,0.0016916384726921219
2020-07-25,12781,3236.0,254.0,9291.0,0.08747404664111791,0.026006615718033536,0.0012547051442910915
2020-07-26,13373,3457.0,274.0,9642.0,0.0640627159789712,0.023786460015068345,0.0021526208158432892
2020-07-27,14604,3744.0,285.0,10575.0,0.12839437637137413,0.02976560879485584,0.0011408421489317569
2020-07-28,15278,4113.0,313.0,10852.0,0.0641300071945551,0.03489361702127659,0.002647754137115839
2020-07-29,16221,4541.0,336.0,11344.0,0.0874596720920704,0.03943973461113159,0.002119424990785109
2020-07-30,17071,4863.0,355.0,11853.0,0.07544534182062469,0.028385049365303245,0.0016748942172073343
2020-07-31,18177,5336.0,373.0,12468.0,0.09398602268343978,0.03990550915380073,0.0015186028853454822
2020-08-01,19757,5820.0,399.0,13538.0,0.1277028851792763,0.03881937760667308,0.002085338466474174
2020-08-02,20984,6292.0,419.0,14273.0,0.09139491756205083,0.03486482493721377,0.0014773230905599055
2020-08-03,22638,7074.0,437.0,15127.0,0.11691730609004587,0.05478876199817838,0.0012611223989350522
2020-08-04,23292,7718.0,457.0,15117.0,0.04365048807155817,0.04257288292457196,0.0013221392212599988
2020-08-05,24113,8513.0,472.0,15128.0,0.05484822816977823,0.05258979956340544,0.0009922603691208574
2020-08-06,24908,9249.0,499.0,15160.0,0.05309119318401216,0.048651507139079855,0.001784769962982549
2020-08-07,26124,10096.0,519.0,15509.0,0.08106218467443145,0.05587071240105541,0.0013192612137203166
2020-08-08,27028,10829.0,545.0,15654.0,0.05893775570501551,0.04726287961828616,0.0016764459346186086
2020-08-09,28034,12230.0,574.0,15230.0,0.06500533162841228,0.08949789191261019,0.0018525616455857927
2020-08-10,29661,13154.0,592.0,15915.0,0.1081061258354896,0.060669730794484567,0.0011818778726198293
2020-08-11,30763,13738.0,609.0,16416.0,0.07011955023880516,0.03669494187873076,0.0010681746779767514
2020-08-12,31721,14420.0,631.0,16670.0,0.05912439062326959,0.041544834307992204,0.0013401559454191032
2020-08-13,32594,15499.0,649.0,16446.0,0.05307926178205412,0.06472705458908218,0.0010797840431913618
2020-08-14,33626,16527.0,670.0,16429.0,0.06362497942951052,0.06250760063237261,0.0012769062385990515
2020-08-15,34634,18071.0,704.0,15859.0,0.062237085220441454,0.09398015703938158,0.0020695112301418223
2020-08-16,35506,19527.0,724.0,15255.0,0.05579917180212496,0.09180906740651995,0.001261113563276373
2020-08-17,36124,21106.0,742.0,14276.0,0.04112684171213956,0.10350704686987873,0.0011799410029498525
2020-08-18,37029,22203.0,763.0,14063.0,0.0643733344883905,0.07684225273185766,0.0014710002801905295
2020-08-19,38003,23933.0,782.0,13288.0,0.07035795626241673,0.12301784825428429,0.0013510630733129488
2020-08-20,38430,25445.0,801.0,12184.0,0.03265740432091613,0.11378687537627935,0.0014298615291992777
2020-08-21,39110,26498.0,824.0,11788.0,0.05672988187438693,0.08642481943532501,0.0018877216021011161
2020-08-22,40030,27347.0,837.0,11846.0,0.07935368708165118,0.07202239565659993,0.0011028164234815065
2020-08-23,40826,28333.0,859.0,11634.0,0.06834897846405712,0.08323484720580787,0.001857166976194496
2020-08-24,41341,29194.0,877.0,11270.0,0.045041941851688964,0.0740072202166065,0.0015471892728210418
2020-08-25,41956,30276.0,905.0,10775.0,0.05553746806687215,0.09600709849157055,0.002484472049689441
2020-08-26,43309,31203.0,914.0,11192.0,0.12782917688543574,0.08603248259860789,0.0008352668213457077
2020-08-27,44027,31988.0,929.0,11110.0,0.06534591435223842,0.07013938527519657,0.0013402430307362402
2020-08-28,45040,32681.0,941.0,11418.0,0.09290326765703587,0.062376237623762376,0.00108010801080108
2020-08-29,45794,33577.0,0.0,12217.0,0.06731407846811192,0.07847258714310737,-0.08241373270275004
